group_task,group_id,group_size,Omega_hat,task_id,revised_woc,initial_woc,influence,dataset,theta,revised_mse,initial_mse,revised_abs_error,initial_abs_error,revised_mse_zscore,initial_mse_zscore,revised_abs_error_zscore,initial_abs_error_zscore,improved
081113_1518_lorenz2017_task_9272,081113_1518,12,0.6947999999999398,lorenz2017_task_9272,431544.25,986004.1666666666,0,lorenz2011,806.0,185535440013.0625,970615427603.3611,430738.25,985198.1666666666,3.0056579238849666,3.014981238646772,2.8751267400945193,2.996715179208544,True
081114_0709_lorenz2017_task_184,081114_0709,12,0.4175999999999703,lorenz2017_task_184,424.3333333333333,150.25,0,lorenz2011,430.0,32.11111111111133,78260.0625,5.666666666666686,279.75,-0.30264948700118033,-0.2941792993781591,-0.4775762131487828,-0.3463335207458632,True
081114_0709_lorenz2017_task_734,081114_0709,12,0.4920999999999621,lorenz2017_task_734,588.4166666666666,402.5,1,lorenz2011,350.0,56842.50694444442,2756.25,238.41666666666663,52.5,-0.2886751346433859,-0.28867514744376876,-0.2886720114559362,-0.2887743522249035,False
081114_0709_lorenz2017_task_10067,081114_0709,12,0.4721999999999643,lorenz2017_task_10067,20598.5,32835.416666666664,1,lorenz2011,12000.0,73934202.25,434114587.673611,8598.5,20835.416666666664,-0.2741362016884611,0.11984538044960871,0.0016041869812454626,0.42634882565241466,True
081114_0709_lorenz2017_task_198,081114_0709,12,0.6316999999999467,lorenz2017_task_198,2145.25,1749.6666666666667,0,lorenz2011,92.0,4215835.5625,2747858.777777778,2053.25,1657.6666666666667,-0.060317334998989815,0.5754307542622352,0.4802617575822316,1.0083353997930908,False
081114_0709_lorenz2017_task_639,081114_0709,12,0.6542999999999443,lorenz2017_task_639,327.75,351.6666666666667,1,lorenz2011,98.0,52785.0625,64346.77777777779,229.75,253.66666666666669,-0.2886751385381944,-0.8157609073265146,-0.2887317565372787,-0.9678225459742882,True
081114_0709_lorenz2017_task_9272,081114_0709,12,0.6947999999999398,lorenz2017_task_9272,4537.5,2378.1666666666665,1,lorenz2011,806.0,13924092.25,2471708.0277777775,3731.5,1572.1666666666665,-0.3432500123632273,-0.30813263824924786,-0.4983533616545898,-0.39891616891392045,False
081114_1142_lorenz2017_task_184,081114_1142,12,0.4175999999999703,lorenz2017_task_184,216.5,2173.1666666666665,1,lorenz2011,430.0,45582.25,3038630.027777777,213.5,1743.1666666666665,-0.287273841081781,-0.27070047479168924,-0.24210832341045055,-0.09783656639170171,True
081114_1142_lorenz2017_task_734,081114_1142,12,0.4920999999999621,lorenz2017_task_734,37519688.083333336,33342235.25,0,lorenz2011,350.0,1407700730211467.2,1111681312024167.5,37519338.083333336,33341885.25,3.1754264805429413,3.17542648054294,3.175426480072969,3.175426427219251,False
081114_1142_lorenz2017_task_10067,081114_1142,12,0.4721999999999643,lorenz2017_task_10067,21639.666666666668,29920.0,1,lorenz2011,12000.0,92923173.44444446,321126400.0,9639.666666666668,17920.0,-0.18678117611026554,-0.133034141363263,0.13049622649044093,0.18674634223091408,True
081114_1142_lorenz2017_task_198,081114_1142,12,0.6316999999999467,lorenz2017_task_198,176.75,502.0833333333333,1,lorenz2011,92.0,7182.5625,168168.34027777775,84.75,410.0833333333333,-0.3558964391283566,-0.4539895673221674,-0.4665800761310086,-0.37150411669897854,True
081114_1142_lorenz2017_task_639,081114_1142,12,0.6542999999999443,lorenz2017_task_639,178.0,521.5833333333334,0,lorenz2011,98.0,6400.0,179422.8402777778,80.0,423.58333333333337,-0.2886751385613326,-0.738366972408299,-0.288737981635605,-0.7205976691144247,True
081114_1142_lorenz2017_task_9272,081114_1142,12,0.6947999999999398,lorenz2017_task_9272,29713.833333333332,9563.166666666666,1,lorenz2011,806.0,835662828.0277777,76687968.02777776,28907.833333333332,8757.166666666666,-0.3284165448804401,-0.30787854202891685,-0.29945285355957074,-0.3741124211111378,False
081117_1016_lorenz2017_task_184,081117_1016,12,0.4175999999999703,lorenz2017_task_184,204.83333333333334,1266.75,1,lorenz2011,430.0,50700.027777777774,700150.5625,225.16666666666666,836.75,-0.28554631311096124,-0.28924705843099696,-0.228890398565476,-0.2517515696665844,True
081117_1016_lorenz2017_task_734,081117_1016,12,0.4920999999999621,lorenz2017_task_734,609.3333333333334,3379.0833333333335,1,lorenz2011,350.0,67253.7777777778,9175345.840277778,259.33333333333337,3029.0833333333335,-0.2886751346177656,-0.28867511886113256,-0.2886700802423918,-0.2884650866131199,True
081117_1016_lorenz2017_task_10067,081117_1016,12,0.4721999999999643,lorenz2017_task_10067,13573.5,16408.75,0,lorenz2011,12000.0,2475902.25,19437076.5625,1573.5,4408.75,-0.6028660502070918,-0.8082467756901873,-0.8680611668386012,-0.9236709408774189,True
081117_1016_lorenz2017_task_198,081117_1016,12,0.6316999999999467,lorenz2017_task_198,121.5,337.4166666666667,1,lorenz2011,92.0,870.25,60229.34027777779,29.5,245.41666666666669,-0.35633976094028424,-0.49706240989128625,-0.49315513902796393,-0.5536270800673793,True
081117_1016_lorenz2017_task_639,081117_1016,12,0.6542999999999443,lorenz2017_task_639,660.1666666666666,1337.25,1,lorenz2011,98.0,316031.36111111107,1535740.5625,562.1666666666666,1239.25,-0.28867513840687953,0.17381896132652166,-0.2887179379968093,0.46617873829329676,True
081117_1016_lorenz2017_task_9272,081117_1016,12,0.6947999999999398,lorenz2017_task_9272,96224.16666666667,74275.0,0,lorenz2011,806.0,9104626530.027779,5397693961.0,95418.16666666667,73469.0,-0.17915084904602258,-0.2896608696324238,0.2259985264495287,-0.15071701486817257,False
081117_1548_lorenz2017_task_184,081117_1548,12,0.4175999999999703,lorenz2017_task_184,558.5,745.1666666666666,0,lorenz2011,430.0,16512.25,99330.02777777775,128.5,315.16666666666663,-0.2970865450115591,-0.29401219255549765,-0.3384103472809794,-0.3403195576685602,True
081117_1548_lorenz2017_task_734,081117_1548,12,0.4920999999999621,lorenz2017_task_734,960.1666666666666,700.0,1,lorenz2011,350.0,372303.36111111107,122500.0,610.1666666666666,350.0,-0.28867513386709276,-0.2886751470706362,-0.2886376881745764,-0.2887434421144842,False
